url,FrecuenciaTotal,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,seccion
https://www.clarin.com/economia/dolar-hoy-dolar-blue-vivo-cotiza-oficial-precio-paralelo-viernes-17-abril-minuto-minuto_0_8ZrnTgr6Ur.html,909,88,9,33,50,134,11,6,5,58,6,0,63,18,50,88,28,7,61,78,45,44,8,1,5,10,3,sitio1
https://www.clarin.com/politica/javier-milei-medidas-vivo-justicia-declaro-inconstitucional-designacion-lijo-garcia-mansilla-corte_0_oxcOwTLCSK.html,1323,144,18,67,59,192,19,9,4,109,4,0,82,34,105,111,32,15,83,88,62,58,7,0,8,9,4,sitio1
https://www.clarin.com/politica/elecciones-2025-argentina-vivo-milei-mete-campana-portena-caminara-adorni-calles-ciudad_0_YY2AFXCNV2.html,602,81,7,28,38,80,6,1,1,46,2,1,41,18,47,52,16,6,35,41,13,29,6,0,1,2,4,sitio1
https://www.clarin.com/deportes/f1-gp-arabia-saudita-hoy-vivo-horarios-practicas-libres-formula-1-2025_0_vJoOR0OeAD.html,1706,203,26,61,66,169,17,22,11,94,4,11,111,50,135,148,69,5,134,140,104,78,17,5,5,15,6,sitio1
https://www.clarin.com/sociedad/encontraron-viva-belen-zerda-empresaria-argentina-desaparecido-mexico_0_UlYaUceMyE.html,3004,437,49,125,148,392,36,39,27,218,15,2,157,86,237,229,61,41,178,200,108,136,40,0,7,22,14,sitio1
https://www.clarin.com/politica/mes-eleccion-dicen-ultimas-encuestas-ciudad-lider-claro-empates_0_2ucOBijt5j.html,3342,425,44,138,172,416,22,25,15,219,17,6,196,90,235,326,112,30,233,238,153,134,33,1,3,39,20,sitio1
https://www.clarin.com/fama/frenarlo-angustia-florencia-pena-vinculada-denuncia-viviana-canosa_0_eiEtVjAI6g.html,4813,629,58,229,218,621,34,55,33,290,14,2,219,121,412,463,104,55,301,294,243,227,80,3,5,70,33,sitio1
https://www.clarin.com/sociedad/prepagas-empiezan-frenar-aumentos-anunciados-mayo-ajuste-final-menor_0_xZoRoZB69W.html,3783,475,47,184,161,520,36,48,31,247,16,0,213,119,261,347,115,41,269,271,148,169,25,0,5,28,7,sitio1
https://www.clarin.com/mundo/ultimatum-estados-unidos-tregua-ucrania-advierte-abandonara-negociaciones-dias-avances-pronto_0_lsmcp1BF1n.html,6843,784,78,287,339,915,62,76,39,494,28,15,297,153,552,606,188,47,538,542,298,337,74,4,8,46,36,sitio1
https://www.clarin.com/espectaculos/china-suarez-trabajo-junto-pablo-echarri-redes-llenaron-odio-reacciono-piensa-abuso-menores_0_lodjcxVA5a.html,6908,868,80,279,303,993,42,77,78,432,42,1,364,218,489,612,167,99,482,495,279,304,81,1,4,84,34,sitio1
https://www.clarin.com/deportes/lionel-messi-corazon-abierto-juegan-futbol-posiciones-imagina-hijos-diferentes_0_AdV7h82PvZ.html,2359,259,22,93,119,315,20,38,28,153,16,0,125,91,149,226,65,26,156,183,101,110,24,1,6,25,8,sitio1
https://www.clarin.com/deportes/gimnasia-vs-river-torneo-apertura-minuto-minuto-directo_0_TNYthkiucJ.html,581,63,6,21,32,92,10,7,4,39,3,0,39,13,41,45,15,5,40,34,36,22,8,0,0,3,3,sitio1
https://www.clarin.com/astrologia/horoscopo-hoy-viernes-18-abril-predicciones-salud-amor-dinero_0_9lnsTmpOOn.html,5838,693,61,261,294,762,41,61,93,377,23,0,219,139,399,602,165,53,421,474,296,256,50,0,7,73,18,sitio1
https://www.clarin.com/economia/calculadora-aguinaldo-cuanto-dinero-extra-vas-recibir,909,131,16,39,55,117,3,13,3,48,9,0,64,29,58,81,20,7,57,57,45,46,1,0,0,7,3,sitio1
https://www.clarin.com/astrologia/horoscopo-piscis-hoy-18-abril-2025-predicciones-salud-amor-dinero_0_e3ngd1FhBm.html,1387,141,21,61,60,201,9,18,8,103,3,0,72,30,91,136,41,12,100,121,61,61,17,0,0,17,3,sitio1
https://www.clarin.com/astrologia/horoscopo-acuario-hoy-18-abril-2025-predicciones-salud-amor-dinero_0_nhxWi0h6yd.html,1265,145,12,49,55,196,8,20,17,84,2,0,67,27,80,118,25,15,92,81,61,62,18,0,1,27,3,sitio1
